Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
Arti Musices	0587-5455	0587-5455	MUSIC - AHCI	N/A	N/A	0.20
Acta Histriae	1318-0185	2591-1767	HISTORY - AHCI	N/A	N/A	0.69
Reti Medievali Rivista	1593-2214	N/A	MEDIEVAL & RENAISSANCE STUDIES - AHCI	N/A	N/A	0.48
Politics Religion & Ideology	2156-7689	2156-7697	HISTORY - AHCI$RELIGION - AHCI	N/A	N/A	2.13
Psychology of Aesthetics Creativity and the Arts	1931-3896	1931-390X	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	7.94
INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW	0019-4646	0973-0893	HISTORY - AHCI	N/A	N/A	1.39
Anuario Musical	0211-3538	1988-4125	MUSIC - AHCI	N/A	N/A	0.04
Tyndale Bulletin	0082-7118	0082-7118	RELIGION - AHCI	N/A	N/A	0.28
Language Culture and Curriculum	0790-8318	1747-7573	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.68
JOURNAL OF MEDIEVAL HISTORY	0304-4181	1873-1279	MEDIEVAL & RENAISSANCE STUDIES - AHCI	N/A	N/A	3.16
Revista 180	0718-2309	0718-2309	ARCHITECTURE - AHCI	N/A	N/A	0.26
Bioscope-South Asian Screen Studies	0974-9276	0976-352X	ASIAN STUDIES - AHCI$FILM, RADIO, TELEVISION - AHCI	N/A	N/A	0.61
Nineteenth-Century Contexts-An Interdisciplinary Journal	0890-5495	1477-2663	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.54
Revista Signos	0718-0934	0718-0934	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.44
PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA	0030-8129	1938-1530	LITERATURE - AHCI	N/A	N/A	3.46
HISTORY OF RELIGIONS	0018-2710	1545-6935	HISTORY - AHCI$RELIGION - AHCI	N/A	N/A	1.16
ARTMargins	2162-2574	2162-2582	ART - AHCI	N/A	N/A	0.40
CHILDRENS LITERATURE IN EDUCATION	0045-6713	1573-1693	LITERATURE - AHCI	N/A	N/A	2.55
KEATS-SHELLEY REVIEW	0952-4142	2042-1362	POETRY - AHCI	N/A	N/A	0.88
Res Publica-A Journal of Moral Legal and Political Philosophy	1356-4765	1572-8692	PHILOSOPHY - AHCI	N/A	N/A	1.27
POSITIF	0048-4911	N/A	FILM, RADIO, TELEVISION - AHCI	N/A	N/A	0.02
Philologus	0031-7985	2196-7008	CLASSICS - AHCI	N/A	N/A	0.74
WORLD LITERATURE TODAY	0196-3570	1945-8134	LITERATURE - AHCI	N/A	N/A	0.05
JOURNAL OF EAST ASIAN LINGUISTICS	0925-8558	1572-8560	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.43
Future Anterior	1549-9715	1934-6026	ARCHITECTURE - AHCI	N/A	N/A	0.13
Comparative Critical Studies	1744-1854	1750-0109	LITERATURE - AHCI	N/A	N/A	0.44
JOURNAL OF MEDIEVAL AND EARLY MODERN STUDIES	1082-9636	N/A	MEDIEVAL & RENAISSANCE STUDIES - AHCI	N/A	N/A	1.03
ZEITSCHRIFT DES DEUTSCHEN VEREINS FUR KUNSTWISSENSCHAFT	0044-2135	N/A	ART - AHCI	N/A	N/A	0.00
PHILOSOPHY OF SCIENCE	0031-8248	1539-767X	HISTORY & PHILOSOPHY OF SCIENCE - AHCI	N/A	N/A	1.10
ESQ-A Journal of Nineteenth-Century American Literature and Culture	0093-8297	1935-021X	LITERATURE, AMERICAN - AHCI	N/A	N/A	0.57
