Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
MATERIALES DE CONSTRUCCION	0465-2746	1988-3226	CONSTRUCTION & BUILDING TECHNOLOGY - SCIE$MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE	2.133	Q3	0.38
Studies in History and Philosophy of Science Part C-Studies in History and Philosophy of Biological and Biomedical Sciences	1369-8486	1879-2499	HISTORY & PHILOSOPHY OF SCIENCE - SCIE	0.964	Q2	0.66
GENE EXPRESSION PATTERNS	1567-133X	1872-7298	DEVELOPMENTAL BIOLOGY - SCIE$GENETICS & HEREDITY - SCIE	1.488	Q4	0.33
BIOMEDICAL CHROMATOGRAPHY	0269-3879	1099-0801	BIOCHEMICAL RESEARCH METHODS - SCIE$BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE$CHEMISTRY, ANALYTICAL - SCIE$PHARMACOLOGY & PHARMACY - SCIE	1.911	Q4	0.41
Journal of Ovonic Research	1842-2403	1584-9953	MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE$PHYSICS, APPLIED - SCIE	0.892	Q4	0.20
AQUA-Water Infrastructure Ecosystems and Society	2709-8028	2709-8036	ENGINEERING, CIVIL - SCIE$WATER RESOURCES - SCIE	N/A	N/A	N/A
Adipocyte	2162-3945	2162-397X	ENDOCRINOLOGY & METABOLISM - SCIE	3.553	Q3	0.63
JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY	0301-4800	1881-7742	NUTRITION & DIETETICS - SCIE	2.032	Q4	0.30
JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY	0219-6336	1793-6888	CHEMISTRY, MULTIDISCIPLINARY - SCIE	2.440	Q3	0.28
PLASTICS RUBBER AND COMPOSITES	1465-8011	1743-2898	MATERIALS SCIENCE, COMPOSITES - SCIE$POLYMER SCIENCE - SCIE	1.843	Q3	0.37
ECOLOGICAL APPLICATIONS	1051-0761	1939-5582	ECOLOGY - SCIE$ENVIRONMENTAL SCIENCES - SCIE	6.105	Q1	1.14
INTERNATIONAL JOURNAL OF ONCOLOGY	1019-6439	1791-2423	ONCOLOGY - SCIE	5.884	Q2	1.01
SAMJ SOUTH AFRICAN MEDICAL JOURNAL	0256-9574	2078-5135	MEDICINE, GENERAL & INTERNAL - SCIE	2.162	Q3	0.38
CHINESE JOURNAL OF ANALYTICAL CHEMISTRY	0253-3820	1872-2040	CHEMISTRY, ANALYTICAL - SCIE	1.193	Q4	0.24
