Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
Linguistic Typology	1430-0532	1613-415X	LINGUISTICS - SSCI	3.565	Q1	2.15
SOZIALE WELT-ZEITSCHRIFT FUR SOZIALWISSENSCHAFTLICHE FORSCHUNG UND PRAXIS	0038-6073	0038-6073	SOCIOLOGY - SSCI	1.188	Q4	0.39
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES	1056-263X	1573-3580	EDUCATION, SPECIAL - SSCI$PSYCHOLOGY, DEVELOPMENTAL - SSCI$REHABILITATION - SSCI	1.517	Q3	0.63
Educational Studies in Mathematics	0013-1954	1573-0816	EDUCATION & EDUCATIONAL RESEARCH - SSCI	2.853	Q2	1.34
JOURNAL OF HEALTH PSYCHOLOGY	1359-1053	1461-7277	PSYCHOLOGY, CLINICAL - SSCI	3.789	Q2	0.95
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY	0004-8674	1440-1614	PSYCHIATRY - SSCI	5.598	Q2	0.92
HUMAN ORGANIZATION	0018-7259	1938-3525	ANTHROPOLOGY - SSCI$SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	1.322	Q3	0.60
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT	1361-9209	1879-2340	ENVIRONMENTAL STUDIES - SSCI$TRANSPORTATION - SSCI	7.041	Q1	1.54
REFERENCE & USER SERVICES QUARTERLY	1094-9054	2163-5242	INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI	0.778	Q4	0.21
JOURNAL OF ECONOMIC SURVEYS	0950-0804	1467-6419	ECONOMICS - SSCI	4.142	Q1	1.34
JOURNAL OF FAMILY HISTORY	0363-1990	1552-5473	ANTHROPOLOGY - SSCI$FAMILY STUDIES - SSCI$HISTORY - SSCI$HISTORY OF SOCIAL SCIENCES - SSCI	0.403	Q3	0.49
International Review of Social Psychology	2397-8570	2397-8570	PSYCHOLOGY, SOCIAL - SSCI	4.200	Q2	0.90
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY	1047-482X	1099-1212	ANTHROPOLOGY - SSCI	1.361	Q2	0.83
FINANCIAL MANAGEMENT	0046-3892	1755-053X	BUSINESS, FINANCE - SSCI	3.391	Q2	1.05
APPLIED ERGONOMICS	0003-6870	1872-9126	ERGONOMICS - SSCI$PSYCHOLOGY, APPLIED - SSCI	3.940	Q2	1.04
Spanish in Context	1571-0718	1571-0726	LINGUISTICS - SSCI	0.500	Q4	0.47
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE	0007-0874	1474-001X	HISTORY & PHILOSOPHY OF SCIENCE - SSCI	1.245	Q2	1.02
Romanian Journal of Political Science	1582-456X	N/A	POLITICAL SCIENCE - SSCI	0.125	Q4	0.11
EUROPEAN UNION POLITICS	1465-1165	1741-2757	POLITICAL SCIENCE - SSCI	2.716	Q2	1.34
JOURNAL OF POPULATION ECONOMICS	0933-1433	1432-1475	DEMOGRAPHY - SSCI$ECONOMICS - SSCI	4.700	Q1	1.73
Journal of Psychologists and Counsellors in Schools	2055-6365	2055-6373	EDUCATION & EDUCATIONAL RESEARCH - SSCI$SOCIAL WORK - SSCI	1.000	Q4	0.48
FAMILY RELATIONS	0197-6664	1741-3729	FAMILY STUDIES - SSCI$SOCIAL WORK - SSCI	1.879	Q3	0.99
JOURNAL OF MODERN ITALIAN STUDIES	1354-571X	1469-9583	HISTORY - SSCI	0.500	Q3	1.68
Structural Change and Economic Dynamics	0954-349X	1873-6017	ECONOMICS - SSCI	5.059	Q1	1.70
JOURNAL OF INTERNATIONAL ECONOMICS	0022-1996	1873-0353	ECONOMICS - SSCI	3.712	Q2	1.29
INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT	0091-4150	1541-3535	GERONTOLOGY - SSCI$PSYCHOLOGY, DEVELOPMENTAL - SSCI	1.926	Q4	0.59
JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	0021-9029	1559-1816	PSYCHOLOGY, SOCIAL - SSCI	2.654	Q3	0.66
Natural Language Engineering	1351-3249	1469-8110	LINGUISTICS - SSCI	1.841	Q2	1.12
SCIENCE COMMUNICATION	1075-5470	1552-8545	COMMUNICATION - SSCI	7.441	Q1	2.41
JOURNAL OF DRUG ISSUES	0022-0426	1945-1369	SUBSTANCE ABUSE - SSCI	1.670	Q4	0.41
PERSONNEL REVIEW	0048-3486	1758-6933	INDUSTRIAL RELATIONS & LABOR - SSCI$MANAGEMENT - SSCI$PSYCHOLOGY, APPLIED - SSCI	3.228	Q2	0.99
PRISON JOURNAL	0032-8855	1552-7522	CRIMINOLOGY & PENOLOGY - SSCI	1.435	Q4	0.60
